lon,lat,built_up,urban_class,is_urban
6.900146,4.949468,0.0,Rural,0
6.901055,4.949468,0.0,Rural,0
6.901964,4.949468,0.0,Rural,0
6.902872,4.949468,0.0,Rural,0
6.903781,4.949468,0.0,Rural,0
6.90469,4.949468,18.0,Suburban,1
6.905599,4.949468,0.0,Rural,0
6.906508,4.949468,0.0,Rural,0
6.907416,4.949468,0.0,Rural,0
6.908325,4.949468,0.0,Rural,0
6.909234,4.949468,0.0,Rural,0
6.910143,4.949468,0.0,Rural,0
6.911052,4.949468,0.0,Rural,0
6.91196,4.949468,0.0,Rural,0
6.912869,4.949468,0.0,Rural,0
6.913778,4.949468,0.0,Rural,0
6.914687,4.949468,0.0,Rural,0
6.915596,4.949468,0.0,Rural,0
6.916504,4.949468,0.0,Rural,0
6.917413,4.949468,118.0,Suburban,1
6.918322,4.949468,2.0,Suburban,1
6.919231,4.949468,0.0,Rural,0
6.92014,4.949468,0.0,Rural,0
6.921048,4.949468,0.0,Rural,0
6.921957,4.949468,0.0,Rural,0
6.922866,4.949468,5.0,Suburban,1
6.923775,4.949468,413.0,Suburban,1
6.924684,4.949468,413.0,Suburban,1
6.925592,4.949468,1118.0,Urban,1
6.926501,4.949468,1118.0,Urban,1
6.92741,4.949468,2250.0,Urban,1
6.928319,4.949468,3239.0,High Urban,1
6.929228,4.949468,4782.0,High Urban,1
6.930136,4.949468,3535.0,High Urban,1
6.931045,4.949468,3190.0,High Urban,1
6.931954,4.949468,1125.0,Urban,1
6.932863,4.949468,246.0,Suburban,1
6.933772,4.949468,1770.0,Urban,1
6.93468,4.949468,152.0,Suburban,1
6.935589,4.949468,929.0,Urban,1
6.936498,4.949468,929.0,Urban,1
6.937407,4.949468,609.0,Urban,1
6.938316,4.949468,26.0,Suburban,1
6.939224,4.949468,89.0,Suburban,1
6.940133,4.949468,129.0,Suburban,1
6.941042,4.949468,129.0,Suburban,1
6.941951,4.949468,1059.0,Urban,1
6.94286,4.949468,1059.0,Urban,1
6.943768,4.949468,0.0,Rural,0
6.944677,4.949468,0.0,Rural,0
6.945586,4.949468,0.0,Rural,0
6.946495,4.949468,0.0,Rural,0
6.947404,4.949468,0.0,Rural,0
6.948312,4.949468,0.0,Rural,0
6.949221,4.949468,0.0,Rural,0
6.95013,4.949468,0.0,Rural,0
6.951039,4.949468,0.0,Rural,0
6.951948,4.949468,0.0,Rural,0
6.952857,4.949468,0.0,Rural,0
6.953765,4.949468,0.0,Rural,0
6.954674,4.949468,0.0,Rural,0
6.955583,4.949468,0.0,Rural,0
6.956492,4.949468,0.0,Rural,0
6.957401,4.949468,0.0,Rural,0
6.958309,4.949468,0.0,Rural,0
6.959218,4.949468,0.0,Rural,0
6.960127,4.949468,0.0,Rural,0
6.961036,4.949468,0.0,Rural,0
6.961945,4.949468,0.0,Rural,0
6.962853,4.949468,0.0,Rural,0
6.963762,4.949468,12.0,Suburban,1
6.964671,4.949468,0.0,Rural,0
6.96558,4.949468,0.0,Rural,0
6.966489,4.949468,0.0,Rural,0
6.967397,4.949468,0.0,Rural,0
6.968306,4.949468,0.0,Rural,0
6.969215,4.949468,0.0,Rural,0
6.970124,4.949468,0.0,Rural,0
6.971033,4.949468,0.0,Rural,0
6.971941,4.949468,0.0,Rural,0
6.97285,4.949468,0.0,Rural,0
6.973759,4.949468,0.0,Rural,0
6.974668,4.949468,0.0,Rural,0
6.975577,4.949468,0.0,Rural,0
6.976485,4.949468,0.0,Rural,0
6.977394,4.949468,0.0,Rural,0
6.978303,4.949468,0.0,Rural,0
6.979212,4.949468,0.0,Rural,0
6.980121,4.949468,0.0,Rural,0
6.981029,4.949468,0.0,Rural,0
6.981938,4.949468,0.0,Rural,0
6.982847,4.949468,0.0,Rural,0
6.983756,4.949468,0.0,Rural,0
6.984665,4.949468,10.0,Suburban,1
6.985573,4.949468,91.0,Suburban,1
6.986482,4.949468,91.0,Suburban,1
6.987391,4.949468,0.0,Rural,0
6.9883,4.949468,0.0,Rural,0
6.989209,4.949468,0.0,Rural,0
6.990117,4.949468,0.0,Rural,0
6.991026,4.949468,0.0,Rural,0
6.991935,4.949468,3.0,Suburban,1
6.992844,4.949468,3.0,Suburban,1
6.993753,4.949468,966.0,Urban,1
6.994661,4.949468,3716.0,High Urban,1
6.99557,4.949468,740.0,Urban,1
6.996479,4.949468,740.0,Urban,1
6.997388,4.949468,441.0,Suburban,1
6.998297,4.949468,262.0,Suburban,1
6.999205,4.949468,2606.0,High Urban,1
7.000114,4.949468,148.0,Suburban,1
7.001023,4.949468,2113.0,Urban,1
7.001932,4.949468,1456.0,Urban,1
7.002841,4.949468,1150.0,Urban,1
7.003749,4.949468,62.0,Suburban,1
7.004658,4.949468,1089.0,Urban,1
7.005567,4.949468,140.0,Suburban,1
7.006476,4.949468,140.0,Suburban,1
7.007385,4.949468,558.0,Urban,1
7.008293,4.949468,2567.0,High Urban,1
7.009202,4.949468,2452.0,Urban,1
7.010111,4.949468,3371.0,High Urban,1
7.01102,4.949468,2831.0,High Urban,1
7.011929,4.949468,3057.0,High Urban,1
7.012837,4.949468,3488.0,High Urban,1
7.013746,4.949468,4083.0,High Urban,1
7.014655,4.949468,2212.0,Urban,1
7.015564,4.949468,3895.0,High Urban,1
7.016473,4.949468,3895.0,High Urban,1
7.017382,4.949468,4754.0,High Urban,1
7.01829,4.949468,2653.0,High Urban,1
7.019199,4.949468,5160.0,High Urban,1
7.020108,4.949468,2953.0,High Urban,1
7.021017,4.949468,736.0,Urban,1
7.021926,4.949468,2876.0,High Urban,1
7.022834,4.949468,2895.0,High Urban,1
7.023743,4.949468,3827.0,High Urban,1
7.024652,4.949468,3154.0,High Urban,1
7.025561,4.949468,4668.0,High Urban,1
7.02647,4.949468,4668.0,High Urban,1
7.027378,4.949468,3916.0,High Urban,1
7.028287,4.949468,3432.0,High Urban,1
7.029196,4.949468,2493.0,Urban,1
7.030105,4.949468,1499.0,Urban,1
7.031014,4.949468,1801.0,Urban,1
7.031922,4.949468,2533.0,High Urban,1
7.032831,4.949468,1671.0,Urban,1
7.03374,4.949468,2140.0,Urban,1
7.034649,4.949468,2737.0,High Urban,1
7.035558,4.949468,2737.0,High Urban,1
7.036466,4.949468,1656.0,Urban,1
7.037375,4.949468,3583.0,High Urban,1
7.038284,4.949468,169.0,Suburban,1
7.039193,4.949468,0.0,Rural,0
7.040102,4.949468,0.0,Rural,0
7.04101,4.949468,0.0,Rural,0
7.041919,4.949468,0.0,Rural,0
7.042828,4.949468,0.0,Rural,0
7.043737,4.949468,0.0,Rural,0
7.044646,4.949468,0.0,Rural,0
7.045554,4.949468,0.0,Rural,0
7.046463,4.949468,0.0,Rural,0
7.047372,4.949468,0.0,Rural,0
7.048281,4.949468,0.0,Rural,0
7.04919,4.949468,0.0,Rural,0
7.050098,4.949468,0.0,Rural,0
7.051007,4.949468,0.0,Rural,0
7.051916,4.949468,0.0,Rural,0
7.052825,4.949468,0.0,Rural,0
7.053734,4.949468,0.0,Rural,0
7.054642,4.949468,0.0,Rural,0
7.055551,4.949468,0.0,Rural,0
7.05646,4.949468,0.0,Rural,0
7.057369,4.949468,12.0,Suburban,1
7.058278,4.949468,0.0,Rural,0
7.059186,4.949468,0.0,Rural,0
7.060095,4.949468,2.0,Suburban,1
7.061004,4.949468,0.0,Rural,0
7.061913,4.949468,74.0,Suburban,1
7.062822,4.949468,136.0,Suburban,1
7.06373,4.949468,174.0,Suburban,1
7.064639,4.949468,188.0,Suburban,1
7.065548,4.949468,188.0,Suburban,1
7.066457,4.949468,444.0,Suburban,1
7.067366,4.949468,2369.0,Urban,1
7.068274,4.949468,1809.0,Urban,1
7.069183,4.949468,3239.0,High Urban,1
7.070092,4.949468,1940.0,Urban,1
7.071001,4.949468,2467.0,Urban,1
7.07191,4.949468,1389.0,Urban,1
7.072818,4.949468,480.0,Suburban,1
7.073727,4.949468,247.0,Suburban,1
7.074636,4.949468,736.0,Urban,1
7.075545,4.949468,736.0,Urban,1
