year,month,avg_lst_day,avg_lst_day_min,avg_lst_day_max,avg_lst_night,avg_ndvi,avg_ndvi_min,avg_ndvi_max,zone,ghsl_urban_pct
2019,12,29.57,23.19,37.01,21.7,0.5635,-0.1024,0.7998,Vegetated,56.97
2020,1,27.87,19.92,34.46,21.66,0.4204,-0.105,0.8128,Vegetated,56.97
2020,2,29.2,19.88,37.2,21.94,0.385,-0.0962,0.8018,Urban-Suburban,56.97
2020,3,30.12,19.85,36.68,23.54,0.4533,-0.1554,0.8779,Vegetated,56.97
2020,4,31.18,19.2,40.8,22.05,0.5442,-0.1199,0.9227,Vegetated,56.97
2020,5,29.21,19.33,36.74,23.07,0.5298,-0.1549,0.9394,Vegetated,56.97
2020,6,26.29,10.72,32.55,21.9,0.335,-0.1457,0.9437,Urban-Suburban,56.97
2020,7,25.3,15.62,29.04,21.6,0.3837,-0.1645,0.9451,Urban-Suburban,56.97
2020,8,26.86,15.48,33.85,20.17,0.371,-0.1296,0.9336,Urban-Suburban,56.97
2020,9,26.51,20.46,31.9,21.89,0.296,-0.1471,0.9546,Urban-Suburban,56.97
2020,10,28.25,20.01,33.83,21.17,0.4306,-0.1768,0.9453,Vegetated,56.97
2020,11,27.61,17.0,34.92,21.21,0.453,-0.1942,0.9417,Vegetated,56.97
2020,12,26.99,12.58,35.89,22.35,0.4734,-0.1479,0.9087,Vegetated,56.97
2021,1,26.67,16.63,33.28,22.39,0.3896,-0.0997,0.8394,Urban-Suburban,56.97
2021,2,27.66,16.06,35.72,22.26,0.3127,-0.0965,0.8393,Urban-Suburban,56.97
2021,3,28.14,20.67,34.76,20.71,0.3433,-0.0899,0.9299,Urban-Suburban,56.97
2021,4,30.08,24.38,38.16,23.45,0.4626,-0.1085,0.8785,Vegetated,56.97
2021,5,28.07,18.09,35.21,23.16,0.5516,-0.1502,0.9567,Vegetated,56.97
2021,6,27.6,12.02,34.7,21.51,0.4288,-0.1799,0.9461,Vegetated,56.97
2021,7,25.7,10.9,33.44,20.52,0.3364,-0.1348,0.943,Urban-Suburban,56.97
2021,8,27.49,17.62,33.43,20.7,0.4075,-0.191,0.9571,Vegetated,56.97
2021,9,27.56,19.28,33.58,22.07,0.3429,-0.1521,0.9547,Urban-Suburban,56.97
2021,10,27.81,18.25,32.83,22.39,0.4112,-0.1844,0.978,Vegetated,56.97
2021,11,27.03,15.72,35.14,22.05,0.4348,-0.1831,0.952,Vegetated,56.97
2021,12,27.41,20.13,35.4,21.91,0.4468,-0.1225,0.8797,Vegetated,56.97
2022,1,26.96,20.19,34.06,21.95,0.4014,-0.16,0.9037,Vegetated,56.97
2022,2,28.16,20.15,35.5,22.59,0.297,-0.1036,0.8573,Urban-Suburban,56.97
2022,3,27.86,21.2,35.01,21.23,0.2999,-0.1447,0.9288,Urban-Suburban,56.97
2022,4,28.95,21.52,36.2,22.28,0.3927,-0.1185,0.9309,Urban-Suburban,56.97
2022,5,27.26,20.54,33.91,20.82,0.4775,-0.1424,0.934,Vegetated,56.97
2022,6,26.85,20.67,31.61,21.97,0.2988,-0.0997,0.9859,Urban-Suburban,56.97
2022,7,23.48,15.34,28.92,19.85,0.3948,-0.1563,0.9786,Urban-Suburban,56.97
2022,8,25.5,18.12,31.2,20.54,0.3068,-0.1313,0.9471,Urban-Suburban,56.97
2022,9,28.13,21.37,33.68,20.22,0.2503,-0.1001,0.962,Urban-Suburban,56.97
2022,10,29.8,24.46,33.36,20.93,0.2524,-0.1648,0.9202,Urban-Suburban,56.97
2022,11,27.6,20.06,34.07,22.2,0.4773,-0.1713,0.9434,Vegetated,56.97
2022,12,27.67,19.92,35.66,21.79,0.4871,-0.1553,0.9263,Vegetated,56.97
2023,1,28.02,17.97,35.34,22.28,0.4898,-0.1186,0.7878,Vegetated,56.97
2023,2,28.32,20.87,34.8,22.83,0.3119,-0.0941,0.9681,Urban-Suburban,56.97
2023,3,29.41,18.1,37.29,23.29,0.509,-0.1286,0.9766,Vegetated,56.97
2023,4,27.48,21.65,33.21,23.18,0.533,-0.1482,0.9524,Vegetated,56.97
2023,5,28.06,19.24,36.75,23.44,0.4348,-0.107,0.9134,Vegetated,56.97
2023,6,26.66,19.92,31.96,22.54,0.5156,-0.1784,0.9606,Vegetated,56.97
2023,7,25.76,20.73,30.32,21.28,0.3346,-0.1613,0.9407,Urban-Suburban,56.97
2023,8,26.77,20.74,32.83,21.63,0.3033,-0.1664,0.9319,Urban-Suburban,56.97
2023,9,26.78,17.13,34.75,22.1,0.4121,-0.1964,0.9457,Vegetated,56.97
2023,10,27.24,16.12,34.41,23.1,0.4352,-0.1548,0.9302,Vegetated,56.97
2023,11,27.08,17.13,33.82,22.59,0.5539,-0.1534,0.9444,Vegetated,56.97
2023,12,27.65,20.19,34.73,22.92,0.4963,-0.1286,0.8423,Vegetated,56.97
2024,1,28.44,20.9,33.85,23.39,0.4219,-0.1315,0.8956,Vegetated,56.97
2024,2,26.67,18.26,33.64,22.8,0.2787,-0.0669,0.7244,Urban-Suburban,56.97
2024,3,28.16,22.27,34.31,23.31,0.4902,-0.0734,0.8664,Vegetated,56.97
2024,4,28.37,19.16,34.14,24.17,0.479,-0.1393,0.8877,Vegetated,56.97
2024,5,27.54,19.5,32.96,23.62,0.4922,-0.1054,0.9319,Vegetated,56.97
2024,6,26.68,15.65,31.13,22.0,0.3582,-0.0855,0.9441,Urban-Suburban,56.97
2024,7,26.1,21.69,30.04,21.75,0.3159,-0.1459,0.9433,Urban-Suburban,56.97
2024,8,25.52,19.61,30.22,20.39,0.3054,-0.0954,0.9248,Urban-Suburban,56.97
2024,9,25.26,19.3,28.66,21.03,0.2545,-0.1493,0.9677,Urban-Suburban,56.97
2024,10,27.11,18.93,35.52,22.74,0.4693,-0.1858,0.9926,Vegetated,56.97
2024,11,27.49,17.84,35.35,23.14,0.633,-0.188,0.9917,Dense Vegetation,56.97
2024,12,27.28,15.75,34.75,23.27,0.5109,-0.1112,0.9657,Vegetated,56.97
